experiment_id;dataset;seed;split;approach;finalScore;measure;incumbent
1170;flags;42;1;hb;0.5142828662565505;FMacroAvgL;meka.classifiers.multilabel.meta.EM(I=47) - meka.classifiers.multilabel.BRq(P=0.8) - weka.classifiers.meta.ClassificationViaRegression() - 
3154;social1;42;2;bohb;0.388228277823654;FMacroAvgD;meka.classifiers.multilabel.MajorityLabelset() - 
3579;tmc2007;42;3;hb;0.03298973247736892;FMacroAvgL;meka.classifiers.multilabel.CCq(P=0.5364133396278976) - weka.classifiers.meta.Stacking(S=1, X=10) - weka.classifiers.lazy.IBk(E=false, X=false, I=false, K=1.0) - 
4073;tmc2007;42;5;smac;0.020733652312599684;FMacroAvgL;meka.classifiers.multilabel.MajorityLabelset() - 
980;bookmarks;42;7;bohb;0.07449858231699809;FMacroAvgD;meka.classifiers.multilabel.MajorityLabelset() - 
46;bibtex;42;1;random;0.059211375899035384;FMacroAvgL;meka.classifiers.multilabel.MLCBMaD(size=19, threshold=0.4397920971138424) - meka.classifiers.multilabel.BR() - weka.classifiers.functions.VotedPerceptron(E=0.3351692584900784, I=6, M=45391) - 
2032;emotions;42;8;bohb;0.6604227227415632;FMacroAvgL;meka.classifiers.multilabel.CCq(P=0.6220401930204199) - weka.classifiers.trees.RandomForest(depth=9, depthActivator=0, I=252, K=17, featuresActivator=0) - 
3688;science1;42;4;bohb;0.18761726078799248;FMicroAvg;meka.classifiers.multilabel.MajorityLabelset() - 
3648;social1;42;3;smac;0.015508684863523574;FMacroAvgL;meka.classifiers.multilabel.MajorityLabelset() - 
3199;social1;42;1;hb;0.3779470438882844;FMicroAvg;meka.classifiers.multilabel.meta.RandomSubspaceML(P=84, A=85, I=32) - meka.classifiers.multilabel.meta.BaggingML(P=67.0, I=10.0) - meka.classifiers.multilabel.MajorityLabelset() - 
3633;recreation1;42;9;bohb;0.6517213870372989;FMacroAvgD;meka.classifiers.multilabel.meta.BaggingML(P=88, I=24) - meka.classifiers.multilabel.PS(P=3, N=1) - weka.classifiers.bayes.NaiveBayesMultinomial() - 
2713;tmc2007;42;1;bf;0.34578449328448957;FMacroAvgD;meka.classifiers.multilabel.CCq(P=0.6171875) - weka.classifiers.rules.ZeroR() - 
1005;genbase;42;0;bf;0.9886363636363636;FMicroAvg;meka.classifiers.multilabel.meta.SubsetMapper() - meka.classifiers.multilabel.CDN(I=244, Ic=52) - weka.classifiers.rules.PART(R=true, B=false, M=12, N=4) - 
3090;tmc2007;42;2;bf;0.033169805987927244;FMacroAvgL;meka.classifiers.multilabel.CCq(P=0.36406250000000007) - weka.classifiers.meta.Stacking(S=1, X=10) - weka.classifiers.rules.ZeroR() - 
1616;genbase;42;2;hb;0.4864197530864197;FMacroAvgL;meka.classifiers.multilabel.MCC(Iy=100, P=Micro Precision, Is=895) - weka.classifiers.functions.Logistic(R=1.0E-7) - 
706;emotions;42;0;hb;0.696035242290749;FMicroAvg;meka.classifiers.multilabel.meta.BaggingML(P=70, I=49) - meka.classifiers.multilabel.PSt(P=5, N=1) - weka.classifiers.bayes.BayesNet(Q=weka.classifiers.bayes.net.search.local.K2, D=false) - 
168;bibtex;42;3;random;0.052419373338559554;FMacroAvgL;meka.classifiers.multilabel.MLCBMaD(size=19, threshold=0.4397920971138424) - meka.classifiers.multilabel.BR() - weka.classifiers.functions.VotedPerceptron(E=0.3351692584900784, I=6, M=45391) - 
475;education1;42;1;bohb;0.5485730119146576;FMacroAvgD;meka.classifiers.multilabel.meta.BaggingML(P=81, I=12) - meka.classifiers.multilabel.PS(P=0, N=5) - weka.classifiers.bayes.NaiveBayesMultinomial() - 
3755;scene;42;7;smac;0.7541666666666667;FMacroAvgD;meka.classifiers.multilabel.meta.BaggingML(P=100, I=24) - meka.classifiers.multilabel.PS(P=5, N=1) - weka.classifiers.functions.SMO(C=1.0, M=false, N=0) - weka.classifiers.functions.supportVector.NormalizedPolyKernel(E=1.0, L=false) - 
